Vehicle Name,Trip Started,Trip Ended,Trip Distance,Trip Duration,AverageMPG,Fuel Cost,Fuel Vol (gal),Hard Brake,Hard Accel,>70 MPH,>75 MPH,>80 MPH,Trip Map,Start Lon,Start Lat,Start Map,End Lat,End Lon,End Map
BMW 328i,"January 02, 2015 at 09:41AM","January 02, 2015 at 09:45AM",0.84,0:03,12.35,$0.17,0.07,0,0,0,0,0,http://ift.tt/1imjI33,-77.524838,38.9954139,http://ift.tt/1rIQgoT,-77.52584,38.988878,http://ift.tt/1imjJnF
BMW 328i,"January 02, 2015 at 09:49AM","January 02, 2015 at 10:11AM",11.03,0:22,22.87,$1.23,0.48,0,2,0,0,0,http://ift.tt/VERgRZ,-77.52584,38.988878,http://ift.tt/1imjJnF,-77.395149,38.9562574,http://ift.tt/1jrnB6S
BMW 328i,"January 02, 2015 at 03:18PM","January 02, 2015 at 03:43PM",11.39,0:24,21.47,$1.35,0.53,0,1,0,0,0,http://ift.tt/1xnpQiY,-77.395149,38.9562574,http://ift.tt/1jrnB6S,-77.524838,38.9954139,http://ift.tt/1rIQgoT
BMW 328i,"January 12, 2015 at 09:50AM","January 12, 2015 at 09:54AM",0.85,0:04,10.72,$0.20,0.08,0,0,0,0,0,,-77.52464212,38.9953181,http://ift.tt/1C80dCE,-77.52464212,38.9953181,http://ift.tt/1C80dCE
BMW 328i,"January 12, 2015 at 09:59AM","January 12, 2015 at 10:26AM",11.1,0:27,20.12,$1.40,0.55,0,0,0,0,0,,-77.52464212,38.9953181,http://ift.tt/1C80dCE,-77.52464212,38.9953181,http://ift.tt/1C80dCE
BMW 328i,"January 12, 2015 at 07:21PM","January 12, 2015 at 07:49PM",11.47,0:27,20.21,$1.44,0.57,0,0,0,0,0,,-77.52464212,38.9953181,http://ift.tt/1C80dCE,-77.52464212,38.9953181,http://ift.tt/1C80dCE
BMW 328i,"January 13, 2015 at 09:44AM","January 13, 2015 at 09:48AM",0.84,0:04,10.55,$0.20,0.08,0,0,0,0,0,,-77.52464212,38.9953181,http://ift.tt/1C80dCE,-77.52464212,38.9953181,http://ift.tt/1C80dCE
BMW 328i,"January 13, 2015 at 09:53AM","January 13, 2015 at 10:19AM",11.12,0:26,21.7,$1.30,0.51,0,0,0,0,0,,-77.52464212,38.9953181,http://ift.tt/1C80dCE,-77.52464212,38.9953181,http://ift.tt/1C80dCE
BMW 328i,"January 13, 2015 at 05:52PM","January 13, 2015 at 06:33PM",11.44,0:41,17.14,$1.69,0.67,0,0,0,0,0,,-77.52464212,38.9953181,http://ift.tt/1C80dCE,-77.52464212,38.9953181,http://ift.tt/1C80dCE
BMW 328i,"January 14, 2015 at 09:43AM","January 14, 2015 at 09:47AM",0.84,0:03,11.03,$0.19,0.08,0,0,0,0,0,,-77.52464212,38.9953181,http://ift.tt/1C80dCE,-77.52464212,38.9953181,http://ift.tt/1C80dCE
BMW 328i,"January 14, 2015 at 09:54AM","January 14, 2015 at 10:25AM",11.25,0:31,18.8,$1.52,0.6,0,0,0,0,0,,-77.52464212,38.9953181,http://ift.tt/1C80dCE,-77.52464212,38.9953181,http://ift.tt/1C80dCE
BMW 328i,"January 14, 2015 at 05:56PM","January 14, 2015 at 06:46PM",11.42,0:49,15.67,$1.85,0.73,0,0,0,0,0,http://ift.tt/152SMTa,-77.395149,38.9562574,http://ift.tt/1jrnB6S,-77.5248079,38.995153,http://ift.tt/1nwbhDK
BMW 328i,"January 15, 2015 at 06:14PM","January 15, 2015 at 06:43PM",17.4,0:28,26.79,$1.65,0.65,0,0,34,0,0,http://ift.tt/1ByGzSl,-77.3957419,38.9559882,http://ift.tt/1isEv2i,-77.533198,39.115223,http://ift.tt/1rqA544
BMW 328i,"January 15, 2015 at 10:40AM","January 15, 2015 at 11:01AM",11.41,0:21,25.13,$1.15,0.45,0,0,0,0,0,http://ift.tt/1xuqKFT,-77.535847,38.985537,http://ift.tt/1jfW0mE,-77.3957419,38.9559882,http://ift.tt/1isEv2i
BMW 328i,"January 15, 2015 at 08:53PM","January 15, 2015 at 09:18PM",11.66,0:24,22.3,$1.33,0.52,0,1,0,0,0,http://ift.tt/1Almt9S,-77.533198,39.115223,http://ift.tt/1rqA544,-77.524838,38.9954139,http://ift.tt/1rIQgoT
BMW 328i,"January 16, 2015 at 10:18AM","January 16, 2015 at 10:22AM",0.84,0:04,10.62,$0.20,0.08,0,0,0,0,0,http://ift.tt/1imjI33,-77.524838,38.9954139,http://ift.tt/1rIQgoT,-77.52584,38.988878,http://ift.tt/1imjJnF
BMW 328i,"January 19, 2015 at 09:03AM","January 19, 2015 at 09:07AM",0.84,0:03,11.75,$0.18,0.07,0,0,0,0,0,http://ift.tt/1imjI33,-77.524838,38.9954139,http://ift.tt/1rIQgoT,-77.52584,38.988878,http://ift.tt/1imjJnF
BMW 328i,"January 16, 2015 at 10:26AM","January 16, 2015 at 10:50AM",11.15,0:23,24.28,$1.16,0.46,0,0,0,0,0,http://ift.tt/1l8wpzG,-77.52584,38.988878,http://ift.tt/1imjJnF,-77.3963967,38.9555855,http://ift.tt/1me8s9y
BMW 328i,"January 16, 2015 at 04:04PM","January 16, 2015 at 04:32PM",11.16,0:28,20.61,$1.38,0.54,0,0,0,0,0,http://ift.tt/1BtztzM,-77.3963967,38.9555855,http://ift.tt/1me8s9y,-77.3950027,38.9552761,http://ift.tt/1AGSBJZ
BMW 328i,"January 19, 2015 at 09:13AM","January 19, 2015 at 09:37AM",11.1,0:24,23.16,$1.22,0.48,0,0,0,0,0,http://ift.tt/1qovEG3,-77.52584,38.988878,http://ift.tt/1imjJnF,-77.3957419,38.9559882,http://ift.tt/1isEv2i
BMW 328i,"January 19, 2015 at 12:12PM","January 19, 2015 at 12:18PM",0.88,0:06,10.34,$0.22,0.09,0,0,0,0,0,http://ift.tt/1xMfzse,-77.3957419,38.9559882,http://ift.tt/1isEv2i,-77.4007589,38.95736,http://ift.tt/NkCtI5
BMW 328i,"January 19, 2015 at 01:06PM","January 19, 2015 at 01:11PM",0.81,0:04,12.09,$0.17,0.07,0,0,0,0,0,http://ift.tt/1CdeT5s,-77.4007589,38.95736,http://ift.tt/NkCtI5,-77.3949267,38.9557793,http://ift.tt/1txbGcr
BMW 328i,"January 19, 2015 at 07:35PM","January 19, 2015 at 08:00PM",11.41,0:24,22.06,$1.31,0.52,0,0,0,0,0,http://ift.tt/1J0Qan2,-77.3963967,38.9555855,http://ift.tt/1me8s9y,-77.524838,38.9954139,http://ift.tt/1rIQgoT
BMW 328i,"January 20, 2015 at 09:59AM","January 20, 2015 at 10:26AM",11.49,0:26,21.55,$1.35,0.53,0,0,0,0,0,http://ift.tt/155raMf,-77.524838,38.9954139,http://ift.tt/1rIQgoT,-77.405167,38.969252,http://ift.tt/155rcDC
BMW 328i,"January 20, 2015 at 03:49PM","January 20, 2015 at 04:15PM",11.48,0:26,21.67,$1.34,0.53,0,0,0,0,0,http://ift.tt/155reLK,-77.395149,38.9562574,http://ift.tt/1jrnB6S,-77.524838,38.9954139,http://ift.tt/1rIQgoT
BMW 328i,"January 21, 2015 at 08:49AM","January 21, 2015 at 08:52AM",0.84,0:03,11.17,$0.19,0.08,0,0,0,0,0,http://ift.tt/1Gvl4WT,-77.524838,38.9954139,http://ift.tt/1rIQgoT,-77.52373,38.99461,http://ift.tt/1CPxwei
BMW 328i,"January 21, 2015 at 09:18AM","January 21, 2015 at 09:21AM",0.06,0:02,28,$0.01,0,0,0,0,0,0,http://ift.tt/1BeqyQ4,-77.535847,38.985537,http://ift.tt/1jfW0mE,-77.535847,38.985537,http://ift.tt/1jfW0mE
BMW 328i,"January 21, 2015 at 12:37PM","January 21, 2015 at 12:45PM",3.07,0:08,17.73,$0.44,0.17,0,0,0,0,0,http://ift.tt/1t1RxOv,-77.501754,38.99006,http://ift.tt/1CTL88b,-77.52373,38.99461,http://ift.tt/1CPxwei
BMW 328i,"January 21, 2015 at 12:11PM","January 21, 2015 at 12:34PM",8.69,0:22,21.27,$1.04,0.41,0,0,0,0,0,http://ift.tt/1E5G5Fv,-77.3963967,38.9555855,http://ift.tt/1me8s9y,-77.4807115,38.9988736,http://ift.tt/1E5G7NG
BMW 328i,"January 22, 2015 at 09:06AM","January 22, 2015 at 09:12AM",0.85,0:05,9.6,$0.22,0.09,0,0,0,0,0,http://ift.tt/1JcNbIo,-77.52373,38.99461,http://ift.tt/1CPxwei,-77.52584,38.988878,http://ift.tt/1imjJnF
BMW 328i,"January 22, 2015 at 09:16AM","January 22, 2015 at 09:50AM",17.41,0:34,23.26,$1.90,0.75,0,0,0,0,0,http://ift.tt/1L31IYX,-77.52584,38.988878,http://ift.tt/1imjJnF,-77.524838,38.9954139,http://ift.tt/1rIQgoT
BMW 328i,"January 22, 2015 at 10:17AM","January 22, 2015 at 10:41AM",11.4,0:24,24.01,$1.21,0.47,0,0,0,0,0,http://ift.tt/1wsQbsO,-77.524838,38.9954139,http://ift.tt/1rIQgoT,-77.3959215,38.9562922,http://ift.tt/TKrYRt
BMW 328i,"January 22, 2015 at 05:50PM","January 22, 2015 at 06:04PM",2.08,0:13,10.63,$0.50,0.2,0,0,0,0,0,http://ift.tt/1JeFi5g,-77.3959215,38.9562922,http://ift.tt/TKrYRt,-77.3833055,38.9705387,http://ift.tt/1JeFfWR
BMW 328i,"January 22, 2015 at 06:40PM","January 22, 2015 at 07:15PM",10.87,0:35,18.78,$1.47,0.58,2,1,0,0,0,http://ift.tt/1CWb4zX,-77.3833055,38.9705387,http://ift.tt/1JeFfWR,-77.524838,38.9954139,http://ift.tt/1rIQgoT
